"filename", "language", "JSON", "Dotenv", "Log", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\minecraft-bot\.env", "Dotenv", 0, 48, 0, 0, 0, 30, 10, 88
"c:\minecraft-bot\README.md", "Markdown", 0, 0, 0, 323, 0, 0, 99, 422
"c:\minecraft-bot\core\bot.cjs", "JavaScript", 0, 0, 0, 0, 599, 58, 74, 731
"c:\minecraft-bot\core\logger.cjs", "JavaScript", 0, 0, 0, 0, 106, 5, 19, 130
"c:\minecraft-bot\core\plugins.cjs", "JavaScript", 0, 0, 0, 0, 39, 14, 17, 70
"c:\minecraft-bot\core\saver.cjs", "JavaScript", 0, 0, 0, 0, 44, 9, 8, 61
"c:\minecraft-bot\core\state.cjs", "JavaScript", 0, 0, 0, 0, 287, 59, 52, 398
"c:\minecraft-bot\core\utils.cjs", "JavaScript", 0, 0, 0, 0, 53, 10, 9, 72
"c:\minecraft-bot\core\viewer.cjs", "JavaScript", 0, 0, 0, 0, 67, 8, 14, 89
"c:\minecraft-bot\data\botStats.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 13
"c:\minecraft-bot\data\experience.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 50
"c:\minecraft-bot\data\minerState.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\minecraft-bot\data\skills.json", "JSON", 180, 0, 0, 0, 0, 0, 0, 180
"c:\minecraft-bot\data\waypoints.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\minecraft-bot\features\ai\agents\miner.cjs", "JavaScript", 0, 0, 0, 0, 608, 69, 93, 770
"c:\minecraft-bot\features\ai\agents\minerCore.cjs", "JavaScript", 0, 0, 0, 0, 310, 63, 50, 423
"c:\minecraft-bot\features\ai\agents\woodcutter.cjs", "JavaScript", 0, 0, 0, 0, 62, 1, 16, 79
"c:\minecraft-bot\features\ai\brain_light.cjs", "JavaScript", 0, 0, 0, 0, 411, 70, 73, 554
"c:\minecraft-bot\features\ai\experience.cjs", "JavaScript", 0, 0, 0, 0, 417, 88, 75, 580
"c:\minecraft-bot\features\ai\goap.cjs", "JavaScript", 0, 0, 0, 0, 42, 4, 11, 57
"c:\minecraft-bot\features\ai\masterAI.cjs", "JavaScript", 0, 0, 0, 0, 272, 53, 45, 370
"c:\minecraft-bot\features\ai\policy.cjs", "JavaScript", 0, 0, 0, 0, 38, 2, 11, 51
"c:\minecraft-bot\features\ai\quantum\core.cjs", "JavaScript", 0, 0, 0, 0, 305, 65, 55, 425
"c:\minecraft-bot\features\ai\quantum\decoherence.cjs", "JavaScript", 0, 0, 0, 0, 186, 71, 50, 307
"c:\minecraft-bot\features\ai\quantum\entanglement.cjs", "JavaScript", 0, 0, 0, 0, 181, 104, 39, 324
"c:\minecraft-bot\features\ai\quantum\index.cjs", "JavaScript", 0, 0, 0, 0, 191, 23, 39, 253
"c:\minecraft-bot\features\ai\quantum\superposition.cjs", "JavaScript", 0, 0, 0, 0, 248, 123, 49, 420
"c:\minecraft-bot\features\ai\quantum\test-quantum.js", "JavaScript", 0, 0, 0, 0, 38, 25, 9, 72
"c:\minecraft-bot\features\ai\skillBrain.cjs", "JavaScript", 0, 0, 0, 0, 741, 117, 85, 943
"c:\minecraft-bot\features\ai\telemetry.cjs", "JavaScript", 0, 0, 0, 0, 16, 2, 8, 26
"c:\minecraft-bot\features\ai\xpHelpers.cjs", "JavaScript", 0, 0, 0, 0, 226, 61, 37, 324
"c:\minecraft-bot\features\building\building.js", "JavaScript", 0, 0, 0, 0, 479, 75, 69, 623
"c:\minecraft-bot\features\building\smelting.js", "JavaScript", 0, 0, 0, 0, 478, 89, 69, 636
"c:\minecraft-bot\features\combat\advancedCombat.js", "JavaScript", 0, 0, 0, 0, 802, 60, 147, 1009
"c:\minecraft-bot\features\combat\combat.js", "JavaScript", 0, 0, 0, 0, 435, 79, 75, 589
"c:\minecraft-bot\features\crafting\autoCrafter.js", "JavaScript", 0, 0, 0, 0, 222, 42, 40, 304
"c:\minecraft-bot\features\crafting\crafting.js", "JavaScript", 0, 0, 0, 0, 355, 53, 35, 443
"c:\minecraft-bot\features\crafting\smartCraft.js", "JavaScript", 0, 0, 0, 0, 191, 43, 28, 262
"c:\minecraft-bot\features\economy\inventory.js", "JavaScript", 0, 0, 0, 0, 409, 82, 78, 569
"c:\minecraft-bot\features\economy\trading.js", "JavaScript", 0, 0, 0, 0, 658, 26, 75, 759
"c:\minecraft-bot\features\environment\adaptive.cjs", "JavaScript", 0, 0, 0, 0, 407, 52, 43, 502
"c:\minecraft-bot\features\exploration\fun.js", "JavaScript", 0, 0, 0, 0, 773, 102, 120, 995
"c:\minecraft-bot\features\exploration\humanMove.cjs", "JavaScript", 0, 0, 0, 0, 483, 74, 51, 608
"c:\minecraft-bot\features\exploration\navigation.js", "JavaScript", 0, 0, 0, 0, 129, 47, 24, 200
"c:\minecraft-bot\features\exploration\structureExplorer.js", "JavaScript", 0, 0, 0, 0, 394, 10, 56, 460
"c:\minecraft-bot\features\exploration\woodcutter.cjs", "JavaScript", 0, 0, 0, 0, 121, 4, 18, 143
"c:\minecraft-bot\features\leveling.js", "JavaScript", 0, 0, 0, 0, 178, 22, 31, 231
"c:\minecraft-bot\features\magic\brewing.js", "JavaScript", 0, 0, 0, 0, 380, 75, 49, 504
"c:\minecraft-bot\features\magic\enchantments.js", "JavaScript", 0, 0, 0, 0, 363, 73, 61, 497
"c:\minecraft-bot\features\magic\spells.js", "JavaScript", 0, 0, 0, 0, 201, 40, 35, 276
"c:\minecraft-bot\features\mining\mining.js", "JavaScript", 0, 0, 0, 0, 293, 70, 54, 417
"c:\minecraft-bot\features\quests\levelingBridge.js", "JavaScript", 0, 0, 0, 0, 41, 13, 9, 63
"c:\minecraft-bot\features\quests\questSystem.js", "JavaScript", 0, 0, 0, 0, 164, 28, 27, 219
"c:\minecraft-bot\features\structures\structureManager.js", "JavaScript", 0, 0, 0, 0, 808, 65, 73, 946
"c:\minecraft-bot\features\utils.cjs", "JavaScript", 0, 0, 0, 0, 79, 13, 13, 105
"c:\minecraft-bot\features\utils\fsx.js", "JavaScript", 0, 0, 0, 0, 17, 0, 4, 21
