Date : 2025-11-26 18:06:53
Directory : c:\minecraft-bot
Total : 70 files,  21698 codes, 2677 comments, 2614 blanks, all 26989 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         54 |     16,236 |      2,620 |      2,487 |     21,343 |
| JSON       |          7 |      4,975 |          0 |          2 |      4,977 |
| Markdown   |          1 |        323 |          0 |         99 |        422 |
| Dotenv     |          2 |         91 |         57 |         20 |        168 |
| Log        |          6 |         73 |          0 |          6 |         79 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                          |         70 |     21,698 |      2,677 |      2,614 |     26,989 |
| . (Files)                                                  |          6 |      5,586 |        134 |        183 |      5,903 |
| core                                                       |          7 |      1,195 |        163 |        193 |      1,551 |
| data                                                       |          5 |        245 |          0 |          0 |        245 |
| features                                                   |         44 |     13,774 |      2,292 |      2,134 |     18,200 |
| features (Files)                                           |          3 |        446 |         59 |         75 |        580 |
| features\ai                                                |         17 |      4,292 |        941 |        745 |      5,978 |
| features\ai (Files)                                        |          8 |      2,163 |        397 |        345 |      2,905 |
| features\ai\agents                                         |          3 |        980 |        133 |        159 |      1,272 |
| features\ai\quantum                                        |          6 |      1,149 |        411 |        241 |      1,801 |
| features\building                                          |          2 |        957 |        164 |        138 |      1,259 |
| features\combat                                            |          2 |      1,237 |        139 |        222 |      1,598 |
| features\crafting                                          |          3 |        768 |        138 |        103 |      1,009 |
| features\economy                                           |          2 |      1,067 |        108 |        153 |      1,328 |
| features\environment                                       |          1 |        407 |         52 |         43 |        502 |
| features\exploration                                       |          5 |      1,900 |        237 |        269 |      2,406 |
| features\magic                                             |          3 |        944 |        188 |        145 |      1,277 |
| features\mining                                            |          1 |        293 |         70 |         54 |        417 |
| features\quests                                            |          2 |        205 |         41 |         36 |        282 |
| features\structures                                        |          1 |        808 |         65 |         73 |        946 |
| features\utils                                             |          2 |        450 |         90 |         78 |        618 |
| integrations                                               |          2 |        825 |         88 |         98 |      1,011 |
| logs                                                       |          6 |         73 |          0 |          6 |         79 |
+------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                   | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\minecraft-bot\.env                                      | Dotenv     |         48 |         30 |         10 |         88 |
| c:\minecraft-bot\README.md                                 | Markdown   |        323 |          0 |         99 |        422 |
| c:\minecraft-bot\core\bot.cjs                              | JavaScript |        599 |         58 |         74 |        731 |
| c:\minecraft-bot\core\logger.cjs                           | JavaScript |        106 |          5 |         19 |        130 |
| c:\minecraft-bot\core\plugins.cjs                          | JavaScript |         39 |         14 |         17 |         70 |
| c:\minecraft-bot\core\saver.cjs                            | JavaScript |         44 |          9 |          8 |         61 |
| c:\minecraft-bot\core\state.cjs                            | JavaScript |        287 |         59 |         52 |        398 |
| c:\minecraft-bot\core\utils.cjs                            | JavaScript |         53 |         10 |          9 |         72 |
| c:\minecraft-bot\core\viewer.cjs                           | JavaScript |         67 |          8 |         14 |         89 |
